InsertCashTransaction;0;richy;100000;11/05/2015 8:45:18 PM
BuyTransaction;35;tester;11;1200;12/05/2015 9:30:10 AM
BuyTransaction;36;tester;11;1200;12/05/2015 9:30:10 AM
BuyTransaction;37;tester;11;1200;12/05/2015 9:30:12 AM
InsertCashTransaction;38;tester;10000;12/05/2015 9:31:07 AM
BuyTransaction;39;tester;11;1200;12/05/2015 9:31:40 AM
BuyTransaction;40;tester;11;1200;12/05/2015 9:31:40 AM
BuyTransaction;41;tester;11;1200;12/05/2015 9:31:40 AM
InsertCashTransaction;42;tester;10000;12/05/2015 9:31:50 AM
BuyTransaction;43;tester;11;2000;12/05/2015 9:32:07 AM
InsertCashTransaction;44;me;100000000;12/05/2015 9:40:32 AM
BuyTransaction;45;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;46;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;47;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;48;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;49;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;50;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;51;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;52;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;53;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;54;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;55;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;56;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;57;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;58;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;59;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;60;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;61;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;62;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;63;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;64;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;65;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;66;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;67;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;68;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;69;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;70;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;71;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;72;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;73;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;74;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;75;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;76;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;77;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;78;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;79;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;80;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;81;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;82;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;83;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;84;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;85;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;86;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;87;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;88;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;89;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;90;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;91;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;92;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;93;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;94;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;95;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;96;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;97;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;98;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;99;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;100;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;101;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;102;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;103;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;104;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;105;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;106;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;107;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;108;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;109;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;110;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;111;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;112;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;113;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;114;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;115;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;116;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;117;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;118;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;119;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;120;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;121;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;122;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;123;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;124;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;125;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;126;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;127;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;128;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;129;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;130;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;131;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;132;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;133;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;134;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;135;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;136;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;137;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;138;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;139;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;140;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;141;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;142;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;143;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;144;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;145;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;146;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;147;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;148;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;149;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;150;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;151;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;152;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;153;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;154;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;155;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;156;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;157;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;158;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;159;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;160;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;161;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;162;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;163;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;164;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;165;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;166;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;167;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;168;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;169;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;170;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;171;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;172;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;173;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;174;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;175;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;176;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;177;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;178;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;179;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;180;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;181;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;182;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;183;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;184;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;185;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;186;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;187;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;188;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;189;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;190;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;191;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;192;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;193;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;194;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;195;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;196;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;197;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;198;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;199;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;200;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;201;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;202;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;203;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;204;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;205;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;206;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;207;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;208;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;209;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;210;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;211;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;212;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;213;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;214;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;215;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;216;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;217;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;218;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;219;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;220;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;221;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;222;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;223;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;224;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;225;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;226;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;227;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;228;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;229;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;230;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;231;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;232;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;233;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;234;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;235;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;236;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;237;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;238;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;239;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;240;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;241;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;242;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;243;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;244;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;245;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;246;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;247;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;248;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;249;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;250;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;251;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;252;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;253;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;254;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;255;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;256;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;257;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;258;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;259;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;260;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;261;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;262;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;263;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;264;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;265;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;266;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;267;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;268;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;269;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;270;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;271;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;272;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;273;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;274;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;275;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;276;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;277;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;278;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;279;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;280;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;281;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;282;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;283;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;284;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;285;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;286;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;287;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;288;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;289;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;290;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;291;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;292;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;293;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;294;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;295;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;296;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;297;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;298;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;299;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;300;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;301;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;302;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;303;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;304;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;305;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;306;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;307;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;308;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;309;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;310;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;311;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;312;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;313;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;314;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;315;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;316;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;317;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;318;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;319;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;320;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;321;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;322;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;323;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;324;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;325;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;326;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;327;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;328;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;329;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;330;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;331;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;332;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;333;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;334;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;335;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;336;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;337;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;338;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;339;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;340;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;341;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;342;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;343;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;344;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;345;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;346;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;347;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;348;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;349;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;350;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;351;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;352;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;353;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;354;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;355;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;356;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;357;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;358;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;359;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;360;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;361;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;362;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;363;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;364;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;365;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;366;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;367;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;368;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;369;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;370;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;371;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;372;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;373;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;374;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;375;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;376;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;377;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;378;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;379;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;380;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;381;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;382;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;383;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;384;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;385;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;386;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;387;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;388;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;389;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;390;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;391;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;392;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;393;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;394;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;395;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;396;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;397;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;398;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;399;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;400;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;401;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;402;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;403;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;404;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;405;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;406;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;407;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;408;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;409;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;410;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;411;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;412;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;413;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;414;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;415;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;416;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;417;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;418;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;419;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;420;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;421;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;422;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;423;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;424;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;425;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;426;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;427;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;428;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;429;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;430;me;31;150;12/05/2015 9:40:43 AM
BuyTransaction;431;me;31;150;12/05/2015 9:40:43 AM
